,URL,Name,Exists,Main Genre,Second Genre,url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
0,https:/scratch.mit.edu/projects/209451652/editor/,2 player albedo game.sb3,False,Quiz,,,2 player albedo game.sb3,27,1,4,2,3,3,4,4,2,4,2,0,0,0,,Default,18,1,3,2,3,3,3,3,389
1,https:/scratch.mit.edu/projects/182649745/editor/,A Day of Choices.sb3,False,,,,A Day of Choices.sb3,15,1,4,0,3,1,2,1,0,3,4,0,0,0,,Default,11,1,3,0,3,1,2,1,229
2,https:/scratch.mit.edu/projects/218171960/editor/,A most serious and mature electronic game.sb3,False,,,,A most serious and mature electronic game.sb3,27,4,4,1,3,2,3,4,2,4,0,1,2,0,,Default,18,3,3,1,3,2,3,3,172
3,https:/scratch.mit.edu/projects/211872439/editor/,Abby and Grace's project.sb3,False,Action,Clicker,,Abby and Grace's project.sb3,22,1,4,0,3,3,2,4,2,3,0,0,0,0,,Default,15,1,3,0,3,3,2,3,323
4,https:/scratch.mit.edu/projects/165073564/editor/,Abby's choices.sb3,False,Simulation,RPG,,Abby's choices.sb3,19,1,4,1,3,2,2,4,2,0,0,1,0,1,,Default,15,1,3,1,3,2,2,3,235
5,https:/scratch.mit.edu/projects/129144339/editor/,Adeventures of Albedude ©.sb3,False,Storytelling,,,Adeventures of Albedude ©.sb3,13,1,1,1,1,2,2,2,0,3,0,0,25,2,,Default,10,1,1,1,1,2,2,2,611
6,https:/scratch.mit.edu/projects/212048123/editor/,Adventure Through the House! - Climate Change.sb3,False,Storytelling,Decision Making,,Adventure Through the House! - Climate Change.sb3,23,3,4,1,3,1,4,4,2,1,0,0,1,0,,Default,17,3,3,1,3,1,3,3,250
7,https:/scratch.mit.edu/projects/129131832/editor/,Adventures Through Ice.sb3,False,Unplayable,nan,,Adventures Through Ice.sb3,25,2,4,1,4,3,2,4,2,3,18,2,0,1,,Default,17,2,3,1,3,3,2,3,689
8,https:/scratch.mit.edu/projects/218168859/editor/,Adventures of TreeGuy.sb3,False,Action,Platform,,Adventures of TreeGuy.sb3,32,4,4,4,3,3,3,4,3,4,4,3,1,1,,Default,21,3,3,3,3,3,3,3,809
9,https:/scratch.mit.edu/projects/213808655/editor/,Ahmet-Ofer.sb3,False,Action,Maze,,Ahmet-Ofer.sb3,15,1,1,0,3,2,2,4,0,2,3,5,3,1,,Default,12,1,1,0,3,2,2,3,660
10,https:/scratch.mit.edu/projects/142792810/editor/,Aidan and Yuval's game.sb3,False,,,,Aidan and Yuval's game.sb3,25,2,4,1,2,4,2,4,2,4,0,0,1,1,,Default,16,2,3,1,2,3,2,3,104
11,https:/scratch.mit.edu/projects/129152444/editor/,AirMania.sb3,False,Simulation,City-building,,AirMania.sb3,32,3,4,4,4,4,3,4,2,4,6,28,9,0,,Default,21,3,3,3,3,3,3,3,435
12,https:/scratch.mit.edu/projects/213264335/editor/,Aji Jesu Game.sb3,False,Action,Clicker,,Aji Jesu Game.sb3,34,4,4,4,4,4,4,4,2,4,13,12,9,10,,Default,21,3,3,3,3,3,3,3,1151
13,https:/scratch.mit.edu/projects/210207543/editor/,Albedo Barrier.sb3,False,Action,Pong,,Albedo Barrier.sb3,27,2,4,4,3,3,2,4,2,3,0,1,3,8,,Default,19,2,3,3,3,3,2,3,205
14,https:/scratch.mit.edu/projects/216096385/editor/,Albedo Pong.sb3,False,Action,Pong,,Albedo Pong.sb3,20,1,4,1,3,2,2,4,0,3,0,0,10,3,,Default,15,1,3,1,3,2,2,3,145
15,https:/scratch.mit.edu/projects/210542187/editor/,Albedo Project.sb3,False,Action,Pong,,Albedo Project.sb3,18,1,1,1,1,4,2,4,2,2,2,0,1,1,,Default,12,1,1,1,1,3,2,3,71
16,https:/scratch.mit.edu/projects/129557515/editor/,Alex and Hannah's project.sb3,False,Action,Pong,,Alex and Hannah's project.sb3,17,1,4,1,3,1,2,2,0,3,0,1,4,1,,Default,13,1,3,1,3,1,2,2,80
17,https:/scratch.mit.edu/projects/214107029/editor/,Allison Elizabeth-2.sb3,False,Strategy,City-Building,,Allison Elizabeth-2.sb3,32,3,4,4,4,3,4,4,2,4,9,10,14,1,,Default,21,3,3,3,3,3,3,3,1582
18,https:/scratch.mit.edu/projects/213801064/editor/,Aman and Brady Project.sb3,False,Action,Shooter,,Aman and Brady Project.sb3,26,2,3,1,3,4,3,4,2,4,4,0,2,2,,Default,18,2,3,1,3,3,3,3,216
19,https:/scratch.mit.edu/projects/213865007/editor/,Amanda and Joyce-2.sb3,False,Quiz,Decision making,,Amanda and Joyce-2.sb3,19,1,4,0,3,2,4,2,0,3,0,1,11,0,,Default,14,1,3,0,3,2,3,2,508
20,https:/scratch.mit.edu/projects/209392563/editor/,Andrew & Will's Scratch Game: Save The World!.sb3,False,Puzzle,,,Andrew & Will's Scratch Game: Save The World!.sb3,24,1,4,1,3,3,2,4,2,4,0,1,0,0,,Default,16,1,3,1,3,3,2,3,1775
21,https:/scratch.mit.edu/projects/213257497/editor/,Anjali and Mariana-3.sb3,False,Action,Maze,,Anjali and Mariana-3.sb3,29,4,4,1,3,3,4,4,2,4,2,1,3,0,,Default,19,3,3,1,3,3,3,3,463
22,https:/scratch.mit.edu/projects/213263195/editor/,Aris and Rana.sb3,False,Storytelling,Decision Making,,Aris and Rana.sb3,16,1,4,1,3,1,2,1,0,3,2,0,11,0,,Default,12,1,3,1,3,1,2,1,235
23,https:/scratch.mit.edu/projects/213801082/editor/,Artem Tsukasa.sb3,False,Action,,,Artem Tsukasa.sb3,20,1,3,2,1,3,3,4,2,1,6,4,22,7,,Default,16,1,3,2,1,3,3,3,321
24,https:/scratch.mit.edu/projects/183556719/editor/,Atmosphere Pong.sb3,False,Action,Pong,,Atmosphere Pong.sb3,13,1,1,1,2,2,2,2,0,2,0,0,0,0,,Default,11,1,1,1,2,2,2,2,44
25,https:/scratch.mit.edu/projects/218191352/editor/,Atmosphere game.sb3,False,,,,Atmosphere game.sb3,33,4,4,4,3,4,4,4,2,4,0,1,0,1,,Default,21,3,3,3,3,3,3,3,116
